volume,chapter,day,title,url
3,7,4,전도서 10-12장,https://www.youtube.com/watch?v=-TdmIuHFcO8
3,7,5,아가 1-4장,https://www.youtube.com/watch?v=zfF9-cAj0cw
3,7,6,아가 5-8장,https://www.youtube.com/watch?v=8QVC1o0_sXo
4,1,1,이사야 1-5장,https://www.youtube.com/watch?v=A_yLNI83VEM
4,1,2,이사야 6-10장,https://www.youtube.com/watch?v=EK8lKCq1PH4
4,1,3,이사야 11-15장,https://www.youtube.com/watch?v=W7d-0593X_g
4,1,4,이사야 16-20장,https://www.youtube.com/watch?v=627wp6ROMiM
4,1,5,이사야 21-25장,https://www.youtube.com/watch?v=RoMubNk67b4
4,1,6,이사야 26-30장,https://www.youtube.com/watch?v=P4A6x2rW1ss
4,1,7,이사야 31-36장,https://www.youtube.com/watch?v=_oaTB8iqjzo
4,1,8,이사야 37-42장,https://www.youtube.com/watch?v=XYqfH-y9ZGM
4,1,9,이사야 43-48장,https://www.youtube.com/watch?v=-8L9RtzTQ5g
4,1,10,이사야 49-54장,https://www.youtube.com/watch?v=AtIeBEK4TuU
4,1,11,이사야 55-60장,https://www.youtube.com/watch?v=MniKMG-GR_A
4,1,12,이사야 61-66장,https://www.youtube.com/watch?v=Np8hfTONjJM
4,2,1,예레미야 1-5장,https://www.youtube.com/watch?v=twjCVJc0NHw
4,2,2,예레미야 6-10장,https://www.youtube.com/watch?v=3RsXlZU5vO8
4,2,3,예레미야 11-15장,https://www.youtube.com/watch?v=hBzfN9omNvE
4,2,4,예레미야 16-20장,https://www.youtube.com/watch?v=kKpqMKqbXQs
4,2,5,예레미야 21-25장,https://www.youtube.com/watch?v=AR9MXi9FINg
4,2,6,예레미야 26-30장,https://www.youtube.com/watch?v=1VFP5MUde4A
4,2,7,예레미야 31-35장,https://www.youtube.com/watch?v=ao1t99R9kyo
4,2,8,예레미야 36-40장,https://www.youtube.com/watch?v=CepvfrtAOQo
4,2,9,예레미야 41-45장,https://www.youtube.com/watch?v=OTJClggBP6Q
4,2,10,예레미야 46-50장,https://www.youtube.com/watch?v=PMHLlz7iajk
4,2,11,예레미야 51-52장,https://www.youtube.com/watch?v=EoJl2A5o068
4,2,12,예레미야애가 1-5장,https://www.youtube.com/watch?v=gzBKgyBAHnM
4,3,1,에스겔 1-4장,https://www.youtube.com/watch?v=xSz681JKrCI
4,3,2,에스겔 5-8장,https://www.youtube.com/watch?v=L-sRT6Thlio
4,3,3,에스겔 9-12장,https://www.youtube.com/watch?v=GiKHb2Rz2Yc
4,3,4,에스겔 13-16장,https://www.youtube.com/watch?v=4CfvHMBgQ50
4,3,5,에스겔 17-20장,https://www.youtube.com/watch?v=vYd7vUSeTdI
4,3,6,에스겔 21-24장,https://www.youtube.com/watch?v=YIGyKVV76Z0
4,3,7,에스겔 25-28장,https://www.youtube.com/watch?v=2ota-w7NFJU
4,3,8,에스겔 29-32장,https://www.youtube.com/watch?v=_MfZR_e2FPw
4,3,9,에스겔 33-36장,https://www.youtube.com/watch?v=SBRaVw0bpkY
4,3,10,에스겔 37-40장,https://www.youtube.com/watch?v=Sf0anrSjF4Y
4,3,11,에스겔 41-44장,https://www.youtube.com/watch?v=t5wPfb6oI7M
4,3,12,에스겔 45-48장,https://www.youtube.com/watch?v=My3WFWI_uCE
4,4,1,다니엘 1-4장,https://www.youtube.com/watch?v=lEYgvkpgxmw
4,4,2,다니엘 5-8장,https://www.youtube.com/watch?v=4bmC7DWot-4
4,4,3,다니엘 9-12장,https://www.youtube.com/watch?v=myTegLDI49E
4,4,4,호세아 1-5장,https://www.youtube.com/watch?v=lRn6dwhhWZ8
4,4,5,호세아 6-10장,https://www.youtube.com/watch?v=mrtFg8uBm1E
4,4,6,호세아 11-14장,https://www.youtube.com/watch?v=ZOgEmfGBa5A
4,5,1,요엘 1-3장 · 아모스 1-3장,https://www.youtube.com/watch?v=8_FoMICdmn4
4,5,2,아모스 4-9장,https://www.youtube.com/watch?v=4oocZF7aqzA
4,5,3,오바댜 1장 · 요나 1-4장,https://www.youtube.com/watch?v=JuctF_00PWg
4,5,4,미가 1-7장,https://www.youtube.com/watch?v=pmxDgl8G7tY
4,5,5,나훔 1-3장 · 하박국 1-3장,https://www.youtube.com/watch?v=NIplsnvvmvk
4,5,6,스바냐 1-3장,https://www.youtube.com/watch?v=b6QFWMxZwro
4,5,7,학개 1-2장,https://www.youtube.com/watch?v=DiZ2geCyh_w
4,5,8,스가랴 1-5장,https://www.youtube.com/watch?v=IU6dNOFDBvg
4,5,9,스가랴 6-10장,https://www.youtube.com/watch?v=kqgHSjmKTH0
4,5,10,스가랴 11-14장,https://www.youtube.com/watch?v=oaLreEdP82o
4,5,11,말라기 1-2장,https://www.youtube.com/watch?v=yTfL0fCCKxc
4,5,12,말라기 3-4장,https://www.youtube.com/watch?v=BPeehvX5bro
5,1,1,마태복음 1-3장,https://www.youtube.com/watch?v=s9jhVw2osL0
5,1,2,마태복음 4-6장,https://www.youtube.com/watch?v=IqFjhdjnkWc
5,1,3,마태복음 7-9장,https://www.youtube.com/watch?v=3Q9Bcg6nEZA
5,1,4,마태복음 10-12장,https://www.youtube.com/watch?v=H1hjO5GUw8I
5,1,5,마태복음 13-15장,https://www.youtube.com/watch?v=X2gBOqyR6OE
5,1,6,마태복음 16-18장,https://www.youtube.com/watch?v=4-DKi4v8o9Y
5,2,1,마태복음 19-21장,https://www.youtube.com/watch?v=5GQ7fnv4qPE
5,2,2,마태복음 22-24장,https://www.youtube.com/watch?v=nQcJM_iBxM8
5,2,3,마태복음 25-28장,https://www.youtube.com/watch?v=-6yPOe7XSLg
5,2,4,마가복음 1-5장,https://www.youtube.com/watch?v=442IuDO7OCI
5,2,5,마가복음 6-10장,https://www.youtube.com/watch?v=G_o3Dvwtxvg
5,2,6,마가복음 11-16장,https://www.youtube.com/watch?v=Gc38ZhTAwpY
5,3,1,누가복음 1-4장,https://www.youtube.com/watch?v=LqJcebvrE1Q
5,3,2,누가복음 5-8장,https://www.youtube.com/watch?v=Gy6ZxzlllPg
5,3,3,누가복음 9-12장,https://www.youtube.com/watch?v=TTJs88DBvN4
5,3,4,누가복음 13-16장,https://www.youtube.com/watch?v=YAJOHz0M7gQ
5,3,5,누가복음 17-20장,https://www.youtube.com/watch?v=Eczf1CFUV_I
5,3,6,누가복음 21-24장,https://www.youtube.com/watch?v=-FjMTwiOK9I
5,4,1,요한복음 1-4장,https://www.youtube.com/watch?v=CAUIYpFUwo0
5,4,2,요한복음 5-8장,https://www.youtube.com/watch?v=FJIFSrwiqKI
5,4,3,요한복음 9-12장,https://www.youtube.com/watch?v=7o00URTOFaQ
5,4,4,요한복음 13-16장,https://www.youtube.com/watch?v=yZj6li_cM2I
5,4,5,요한복음 17-19장,https://www.youtube.com/watch?v=LE5qadKhywI
5,4,6,요한복음 20-21장,https://www.youtube.com/watch?v=assbCpt4gV8
5,5,1,사도행전 1-3장,https://www.youtube.com/watch?v=ziuNeYbkrsA
5,5,2,사도행전 4-5장,https://www.youtube.com/watch?v=bM1rbSaxHIw
5,5,3,사도행전 6-8장,https://www.youtube.com/watch?v=7-sfLQeTPt8
5,5,4,사도행전 9-10장,https://www.youtube.com/watch?v=EKezOe95niA
5,5,5,사도행전 11-13장,https://www.youtube.com/watch?v=_80aJDapPEI
5,5,6,사도행전 14-15장,https://www.youtube.com/watch?v=CLhMkHJd5NE
5,6,1,사도행전 16-18장,https://www.youtube.com/watch?v=ld3gDpnweVo
5,6,2,사도행전 19-20장,https://www.youtube.com/watch?v=F1BN5q2p6wo
5,6,3,사도행전 21-22장,https://www.youtube.com/watch?v=URxnYDxG_yk
5,6,4,사도행전 23-24장,https://www.youtube.com/watch?v=TN_2f9bEqgg
5,6,5,사도행전 25-26장,https://www.youtube.com/watch?v=kEPrUKszw50
5,6,6,사도행전 27-28장,https://www.youtube.com/watch?v=8Fbig8ZiYPU
5,7,1,로마서 1-3장,https://www.youtube.com/watch?v=gJA-SvlQ0yw
5,7,2,로마서 4-6장,https://www.youtube.com/watch?v=-CBOqCG5vko
5,7,3,로마서 7-8장,https://www.youtube.com/watch?v=_BQoYxEfN70
